,Autovalores Exatos,Autovalores Método dos elementos finitos,Autovalores Método das diferenças finitas,Erro Método dos elementos finitos,Erro Método das diferenças finitas
0,0.7071067811865476,0.7083561476103318,0.5037718796555501,0.0012493664237842594,0.20333490153099743
1,2.121320343559643,2.1275551722067143,1.508745256279941,0.0062348286470714775,0.6125750872797018
2,3.5355339059327378,3.5517143310240473,2.5085577845972207,0.01618042509130957,1.026976121335517
3,4.949747468305833,4.980806929676919,3.503168767336264,0.031059461371086172,1.4465787009695688
4,6.3639610306789285,6.414806182148905,4.492536420822425,0.05084515146997681,1.8714246098565033
5,7.778174593052023,7.853685208812041,5.476617826306995,0.07551061576001761,2.301556766745028
6,9.19238815542512,9.297417034413584,6.455368878216386,0.10502887898846502,2.7370192772087334
7,10.606601717798213,10.74597458602919,7.428744229067378,0.13937286823097672,3.177857488730835
8,12.020815280171309,12.199330690981565,8.396697230768218,0.17851541081025601,3.6241180494030907
9,13.435028842544403,13.657458074723484,9.359179871998629,0.22242923217908128,4.075848970545774
