,Autovalores Exatos,Autovalores Método dos elementos finitos,Autovalores Método das diferenças finitas,Erro Método dos elementos finitos,Erro Método das diferenças finitas
0,0.024674011002723394,0.024676040425535208,0.024185885400598586,2.0294228118139523e-06,0.0004881256021248073
1,0.09869604401089357,0.09872851797903544,0.0967201433202824,3.247396814186343e-05,0.001975900690611168
2,0.22206609902451058,0.222230525492133,0.2175326015490662,0.00016442646762243607,0.004533497475444376
3,0.3947841760435743,0.39530396421925235,0.3865063818361745,0.0005197881756780487,0.008277794207399825
4,0.6168502750680849,0.6181196631645519,0.6034780129621592,0.001269388096467039,0.01337226210592568
5,0.8882643960980423,0.8908975451802948,0.8682375888868142,0.0026331490822525394,0.02002680721122807
6,1.2090265391334463,1.2139068388574221,1.1805289718196514,0.004880299723975856,0.028497567313794825
7,1.5791367041742972,1.5874663349210791,1.540050040016696,0.008329630746781946,0.03908666415760109
8,1.998594891220595,2.01194468551405,1.9464529800637684,0.013349794293455064,0.05214191115682665
9,2.4674011002723395,2.4877607443939223,2.399344623363505,0.020359644121582754,0.06805647690883454
